Sentence:मंदिर के शीर्ष पर सोने की परत लगाई गई है ।,Sentence ID:dev-s44,NOUN ID:7,Word:परत,VERB ID:8,Word:लगाई,relation:obj
Sentence:मंदिर के शीर्ष पर सोने की परत लगाई गई है ।,Sentence ID:dev-s52,NOUN ID:7,Word:परत,VERB ID:8,Word:लगाई,relation:obj
Sentence:लोग बरबस इस सोने की परत चढ़े चैत्‍य के साथ फोटो खींचना चाहते हैं ।,Sentence ID:dev-s55,NOUN ID:6,Word:परत,VERB ID:7,Word:चढ़े,relation:obj
Sentence:लोग बरबस इस सोने की परत चढ़े चैत्‍य के साथ फोटो खींचना चाहते हैं ।,Sentence ID:dev-s55,NOUN ID:11,Word:फोटो,VERB ID:12,Word:खींचना,relation:obj
Sentence:उन्होंने मुशर्रफ पर एजेंडा बदलने और पीछे हटने का आरोप भी लगाया ।,Sentence ID:dev-s114,NOUN ID:4,Word:एजेंडा,VERB ID:5,Word:बदलने,relation:obj
Sentence:अब तो मुशर्रफ एक बयान देते हैं और अगले दिन उस पर पलट जाते हैं ।,Sentence ID:dev-s121,NOUN ID:5,Word:बयान,VERB ID:6,Word:देते,relation:obj
Sentence:शरीफ का यह भी कहना है कि पाकिस्तान के परमाणु वैज्ञानिकों के खिलाफ मुकदमा चलाया जाना गलत है ।,Sentence ID:dev-s123,NOUN ID:14,Word:मुकदमा,VERB ID:15,Word:चलाया,relation:obj
Sentence:समारोह के दौरान कनिष्ठ आचार्य विजयेंद्र सरस्वती ने यज्ञ और भजन के बाद पूर्ण आहुति देने के बाद स्वर्ण कलश ग्रहण किया ।,Sentence ID:dev-s134,NOUN ID:15,Word:आहुति,VERB ID:16,Word:देने,relation:obj
"Sentence:बल्कि, आंतरिक व अतिरिक्त बजटीय मदद का न होना ही इसकी मुख्य समस्या है ।",Sentence ID:dev-s142,NOUN ID:14,Word:समस्या,VERB ID:15,Word:है,relation:obj
Sentence:लोकपाल को सक्षम पुलिस व सीबीआई जैसी एजेंसी का समर्थन दिए जाने के प्रयास भी किए जा रहे हैं ।,Sentence ID:dev-s165,NOUN ID:10,Word:समर्थन,VERB ID:11,Word:दिए,relation:obj
Sentence:इसलिए सरकार ने तय किया है कि इस बारे में सभी के लिए समान कानून लाया जाए ।,Sentence ID:dev-s180,NOUN ID:15,Word:कानून,VERB ID:16,Word:लाया,relation:obj
"Sentence:भारद्वाज का मानना है कि सीवीसी सीबीआई के निदेशक और प्रवर्तन निदेशालय के निदेशकों की नियुक्ति का अनुमोदन करने का अधिकार रखता है, लेकिन उसके पास उतने कानूनी अधिकार नहीं हैं ।",Sentence ID:dev-s184,NOUN ID:21,Word:अधिकार,VERB ID:22,Word:रखता,relation:obj
