sentenceid: dev-s1	id: 5	parent: राम	POS: PROPN	P_relation: nmod	vibhakti: में_
sentenceid: dev-s1	id: 8	parent: कुश	POS: PROPN	P_relation: nmod	vibhakti: के_
sentenceid: dev-s1	id: 11	parent: कुशावती	POS: PROPN	P_relation: obj	vibhakti: की_
sentenceid: dev-s1	id: 16	parent: बुद्ध	POS: PROPN	P_relation: nsubj	vibhakti: को_
sentenceid: dev-s1	id: 20	parent: विश्राम	POS: NOUN	P_relation: obl	vibhakti: ने_
sentenceid: dev-s2	id: 1	parent: मल्‍लों	POS: NOUN	P_relation: nmod	vibhakti: के_लिए_
sentenceid: dev-s2	id: 7	parent: प्राचीनकाल	POS: NOUN	P_relation: obl	vibhakti: के_कारण_
sentenceid: dev-s3	id: 2	parent: धर्मावलंबियों	POS: NOUN	P_relation: nmod	vibhakti: का_
sentenceid: dev-s3	id: 9	parent: सारनाथ	POS: PROPN	P_relation: conj	vibhakti: के_अनुसार_
sentenceid: dev-s3	id: 14	parent: स्‍थान	POS: NOUN	P_relation: nmod	vibhakti: के_साथ_
sentenceid: dev-s4	id: 9	parent: सांग	POS: PROPN	P_relation: nsubj	vibhakti: से_
sentenceid: dev-s6	id: 1	parent: 1876	POS: PROPN	P_relation: obl	vibhakti: के_रूप_में_
sentenceid: dev-s9	id: 4	parent: तौर	POS: NOUN	P_relation: obl	vibhakti: बाद_
sentenceid: dev-s9	id: 6	parent: पर्यटकों	POS: NOUN	P_relation: nmod	vibhakti: पर_
sentenceid: dev-s10	id: 1	parent: कुशीनगर	POS: PROPN	P_relation: nmod	vibhakti: की_ओर_
sentenceid: dev-s13	id: 4	parent: स्‍थान	POS: NOUN	P_relation: obl	vibhakti: की_तरह_
sentenceid: dev-s18	id: 2	parent: मंदिर	POS: NOUN	P_relation: nmod	vibhakti: से_पूर्व_का_
sentenceid: dev-s19	id: 2	parent: परिसर	POS: NOUN	P_relation: obj	vibhakti: के_आसपास_
sentenceid: dev-s26	id: 12	parent: मुद्रा	POS: NOUN	P_relation: root	vibhakti: से_की_
sentenceid: dev-s28	id: 8	parent: महाजनपदों	POS: NOUN	P_relation: obl	vibhakti: के_बाद_
sentenceid: dev-s30	id: 1	parent: कुशीनगर	POS: PROPN	P_relation: obl	vibhakti: के_ऊपर_
sentenceid: dev-s31	id: 6	parent: स्‍तूप	POS: NOUN	P_relation: obj	vibhakti: में_से_
sentenceid: dev-s35	id: 9	parent: दर्शनार्थियों	POS: NOUN	P_relation: obl	vibhakti: तक_
sentenceid: dev-s38	id: 2	parent: मंदिर	POS: NOUN	P_relation: nmod	vibhakti: की_ओर_से_
sentenceid: dev-s39	id: 7	parent: कुशीनगर	POS: PROPN	P_relation: obl	vibhakti: के_सामने_
sentenceid: dev-s40	id: 1	parent: इसके	POS: PRON	P_relation: obl	vibhakti: के_दौरान_
sentenceid: dev-s40	id: 7	parent: शैली	POS: NOUN	P_relation: nmod	vibhakti: साथ_
sentenceid: dev-s43	id: 3	parent: थाईलैंड	POS: PROPN	P_relation: nmod	vibhakti: जैसा_
sentenceid: dev-s48	id: 2	parent: पत्‍थरों	POS: NOUN	P_relation: obl	vibhakti: के_सौजन्‍य_से_
sentenceid: dev-s54	id: 2	parent: परिसर	POS: NOUN	P_relation: obl	vibhakti: ओर_
sentenceid: dev-s60	id: 2	parent: मंदिर	POS: NOUN	P_relation: obl	vibhakti: के_बाहर_
sentenceid: dev-s60	id: 6	parent: तालाब	POS: NOUN	P_relation: obl	vibhakti: से_पहले_
sentenceid: dev-s60	id: 10	parent: बुद्ध	POS: PROPN	P_relation: nmod	vibhakti: बीच_में_
sentenceid: dev-s60	id: 19	parent: पर्यटकों	POS: NOUN	P_relation: nmod	vibhakti: सामने_
sentenceid: dev-s71	id: 1	parent: गोरखपुर	POS: PROPN	P_relation: nmod	vibhakti: लिए_
sentenceid: dev-s80	id: 6	parent: देशों	POS: NOUN	P_relation: nmod	vibhakti: अलावा_
sentenceid: dev-s86	id: 4	parent: पैरों	POS: NOUN	P_relation: obl	vibhakti: समय_
